Diagnos	Fusiongene
B-ALL/AML	BCR::ABL1
B-ALL/AML	KMT2A::x
B-ALL	ETV6::RUNX1
B-ALL	IL3::IGH
B-ALL	TCF3::PBX1
B-ALL	ABL1::x
B-ALL	MYC::x
B-ALL	IGH::DUX4
B-ALL	MEF2D
B-ALL	ZNF384
B-ALL	ZNF362
B-ALL	NUTM1::X
B-ALL	HLF::X
B-ALL	TCF3::HLF
B-ALL	UBTF::ATXN7L3
B-ALL	IGH::CEBPA
T-ALL	BCL11B::x
Eos	FIP1L1::PDGFRA
Eos	PDGFRA::x
Eos	ETV6::PDGFRB
Eos	PDGFRB::x
Eos	ZMYM2::FGFR1
Eos	FGFR1::
Eos	PCM1::JAK2
Eos	ETV6::JAK2
Eos	ETV6::FGFR2
Eos	ETV6::LYN
Eos	ETV6::NTRK3
Eos	BCR::JAK2
Eos	JAK2::
Eos	ETV6::FLT3
Eos	FLT3::x
Eos	ETV6::ABL1
Eos	RANBP2::ALK
Eos	BCR::RET;
Eos	FGFR1OP::RET
Sarkom	CITED2::PRDM10 
Sarkom	MED12::PRDM10
Sarkom	CSF1
Sarkom	HMGA2
AML	PML::RARA
AML	RUNX1::RUNXT1
AML	CBFB::MYH11
AML	MLLT3::KMT2A
AML	DEK::NUP214
AML	MECOM::x
AML	RBM15::MRTFA
AML	NUP98
AML	PRDM16::RPN1 
AML	NPM1::MLF1
AML	KAT6A::CREBBP
AML	RBM15::MKL1
AML	NUP98::NSD1
AML	NUP98::KMD5A
AML	NUP98::x
AML	ETV6::MNX1
AML	PICALM::MLLT10
AML	FUS::ERG
AML	RUNX1::CBFA2T3 
AML	CBFA2T3::GLIS2
